,index,A2P,A2V,A1P,A1V,B1P,B1V,B2P,B2V,Cash,Inventory,Position,Action,Order ID,Price,Volume,Type,Direction
0,264,1547700,100,1547500,258,1546400,100,1546300,61,1000000000.0,1000000.0,{},Limit Order,9040569,1547400,54,1,1
1,546,1548000,173,1547900,165,1547100,100,1546900,100,999991644.04,1000054.0,{},No action,,,,,
2,646,1546900,9,1546800,100,1546300,323,1546000,200,999991644.04,1000054.0,{},Market Order,9334013,1546800,24,4,-1
3,695,1547100,100,1547000,422,1546500,10,1546100,500,999987931.7199999,1000078.0,{},Limit Order,9400521,1546500,100,1,1
4,703,1547500,100,1547100,100,1546600,110,1546500,100,999987931.7199999,1000078.0,"{9400521: (1546500, 100, 0, 0.0)}",Cancel Order,9400521,1546500,100,3,1
5,771,1547100,300,1546900,76,1546500,10,1546100,600,999987931.7199999,1000078.0,{},Limit Order,9436505,1546500,50,1,1
6,772,1547100,300,1546900,76,1546500,60,1546100,600,999987931.7199999,1000078.0,"{9436505: (1546500, 50, 10, 0.16666666666666666)}",Cancel Order,9436505,1546500,50,3,1
7,813,1546700,300,1546300,76,1546100,520,1545900,32,999987931.7199999,1000078.0,{},No action,,,,,
8,873,1547100,200,1546900,34,1546100,296,1545900,32,999987931.7199999,1000078.0,{},Limit Order,9555969,1546100,200,1,1
9,947,1546800,100,1546600,100,1546100,450,1545500,742,999957009.7199999,1000278.0,{},No action,,,,,
10,1016,1547700,100,1547500,100,1545700,353,1545500,742,999957009.7199999,1000278.0,{},Market Order,9592149,1545700,53,4,1
11,1044,1547700,100,1547500,100,1545500,300,1545400,50,999965201.93,1000225.0,{},Limit Order,9679873,1545500,4,1,1
12,1157,1546800,100,1546600,100,1545700,140,1545500,4,999965201.93,1000225.0,{},No action,,,,,
13,1179,1546800,100,1546600,257,1545700,220,1545600,100,999965201.93,1000225.0,{},Market Order,9735373,1545700,16,4,1
14,1292,1546700,5400,1546600,100,1545800,100,1545700,100,999967675.05,1000209.0,{},Market Order,9764729,1545800,80,4,1
15,1357,1546700,5399,1546600,100,1545800,200,1545700,171,999980041.4499999,1000129.0,{},Limit Order,9795893,1546400,100,1,1
16,1440,1546800,100,1546700,1419,1545600,100,1545400,150,999964577.4499999,1000229.0,{},Market Order,9795933,1545600,100,4,1
17,1475,1546600,10,1546500,200,1545600,100,1545500,100,999980033.4499999,1000129.0,{},No action,,,,,
18,1558,1546700,1419,1546600,110,1545500,200,1545400,50,999980033.4499999,1000129.0,{},No action,,,,,
19,1563,1546700,1419,1546600,110,1545600,500,1545500,300,999980033.4499999,1000129.0,{},Limit Order,9887661,1546600,100,1,-1
20,1606,1546400,100,1546300,400,1545500,341,1545400,50,999980033.4499999,1000129.0,{},No action,,,,,
